"Row.names";"baseMean";"log2FoldChange";"lfcSE";"stat";"pvalue";"padj";"Length";"Description"
"NRRL3_04411";4512.8516192619;2.12333712325541;0.102700347501679;20.6750724307014;5.80795104871395e-95;2.60856201419739e-92;1497;"FAD linked oxidase, N-terminal domain-containing protein"
"NRRL3_02943";1709.06651744629;3.13586476894581;0.153081873298663;20.4848862989005;2.93668848386717e-93;1.26162690909094e-90;2232;"hypothetical protein"
"NRRL3_05585";994.145301254594;4.33605856039468;0.21180250059291;20.4721783182754;3.81195049425081e-93;1.56941178473718e-90;1143;"hypothetical protein"
"NRRL3_05588";981.835329292639;3.7798348036952;0.193564564257895;19.5275143370723;6.40836090032205e-85;2.53284056224329e-82;11712;"hybrid polyketide synthase/non-ribosomal peptide synthetase"
"NRRL3_11670";2466.99391066512;-4.06534516314144;0.210062322413565;-19.3530430228115;1.92155014299271e-83;7.30262960111961e-81;1455;"fumarate reductase"
"NRRL3_01254";460.109674194875;4.83390729297026;0.250255926953525;19.3158553797927;3.95131349571064e-83;1.44603439448581e-80;1500;"cytochrome P450"
"NRRL3_11530";1147.07511557301;-3.94416455124381;0.204940399699557;-19.245422361945;1.54201529840862e-82;5.44166184413412e-80;342;"ribosome maturation protein SBDS, N-terminal domain-containing protein"
"NRRL3_07131";13847.2996391287;-3.99038292410452;0.209342129236702;-19.0615378693919;5.27027258197116e-81;1.79570908215369e-78;405;"hypothetical protein"
"NRRL3_06177";750.402652215563;-6.02798397653469;0.319948964285828;-18.8404547268656;3.51929190232868e-79;1.15913744289699e-76;1704;"initiation factor 2B-related protein"
"NRRL3_02556";1287.45333373769;4.68776858111819;0.251011754496739;18.675494263274;7.83611986250724e-78;2.46729964020623e-75;720;"hypothetical protein"
"NRRL3_04647";596.584976657952;3.21230015433911;0.172015757016608;18.6744529108979;7.99044514589609e-78;2.46729964020623e-75;927;"S-adenosyl-L-methionine-dependent methyltransferase domain-containing protein"
"NRRL3_10307";1081.86174504063;-5.53516937079652;0.296489219816272;-18.6690408987772;8.84264820585042e-78;2.64770324006085e-75;1371;"flavohemoglobin"
"NRRL3_07447";712.032054342395;3.21802964370815;0.173359588160507;18.5627439350438;6.4333261434269e-77;1.86963810656474e-74;846;"short-chain dehydrogenase/reductase family protein"
"NRRL3_04345";441.0576108886;-4.68977085763807;0.254219193498107;-18.4477450073926;5.43667960104138e-76;1.53485231822543e-73;1131;"taurine dioxygenase"
"NRRL3_00054";480.226604289476;4.5204710906609;0.245721763062663;18.3967062352068;1.39596453702526e-75;3.83153488620739e-73;1626;"beta-1,3-glucanosyltransferase"
"NRRL3_10374";10324.9652644266;13.4056961706102;0.728877480049049;18.3922490919984;1.51560290841684e-75;4.04747901028833e-73;1071;"enoyl reductase"
"NRRL3_08720";2537.26317228378;2.34380842779949;0.127522108856206;18.3796241202563;1.91289520803047e-75;4.97403093435502e-73;1122;"hypothetical protein"
"NRRL3_11494";4019.79219389979;2.12821379859587;0.116995794576924;18.1905153624695;6.13604881769002e-74;1.55462303506654e-71;1395;"glycoside hydrolase family 71 protein"
"NRRL3_02289";616.279638024071;-3.15752645613968;0.173802013981339;-18.1673755315557;9.35680650009057e-74;2.31136512568487e-71;2745;"uncharacterized protein"
"NRRL3_03476";4151.46110830813;-3.776172285514;0.208021854184137;-18.1527671711425;1.22092337444533e-73;2.94242533241324e-71;1998;"NADP-dependent malic enzyme"
"NRRL3_07326";1520.5036335897;3.10052952663398;0.172149503051628;18.0106795063133;1.6064438702699e-72;3.77935044812784e-70;1059;"hypothetical protein"
"NRRL3_01430";743.843685368864;-7.13061776470336;0.39628367912587;-17.993720509591;2.18203632786861e-72;5.01411650131854e-70;2448;"D-xylulose 5-phosphate/D-fructose 6-phosphate phosphoketolase family protein"
"NRRL3_09001";571.75370616698;5.25027303909562;0.292752055656173;17.9341970027424;6.37784095942291e-72;1.43226014818313e-69;1653;"alpha-amylase"
"NRRL3_01300";379.191954874531;4.11844080917696;0.230613821808474;17.8586035168236;2.47760855300982e-71;5.44027780273112e-69;1995;"FAD/NAD(P)-binding domain-containing protein"
"NRRL3_02986";4157.36842938041;2.35243681925439;0.133181553504636;17.663383234019;8.02801962493338e-70;1.72445351986884e-67;789;"alpha/beta hydrolase fold-1 domain-containing protein"
"NRRL3_06388";532.494329653977;-4.43036526419948;0.251748565228609;-17.5983734412799;2.53500713336298e-69;5.32944797548076e-67;273;"hypothetical protein"
"NRRL3_09002";876.42985635381;4.7270162355825;0.268713045482934;17.5913165179125;2.87128726170464e-69;5.91066446518824e-67;7221;"cell wall alpha-1,3-glucan synthase"
"NRRL3_10371";6147.0863228186;12.6579945200594;0.731294926588335;17.3090145437108;4.02240444759317e-67;8.11130170340165e-65;762;"serine hydrolase Fsh domain-containing protein"
"NRRL3_02967";5154.50839807354;2.02746210435259;0.121678316912568;16.662476567698;2.45638930396938e-62;4.85431654250429e-60;1599;"amino acid/polyamine transporter I family protein"
"NRRL3_05584";3152.57609093845;2.18649679960688;0.134164015953576;16.2971925375539;1.03330633151061e-59;2.00198036503065e-57;1596;"major facilitator superfamily protein, efflux pump"
"NRRL3_04362";866.520071315429;2.66701790935747;0.164542317750498;16.2087051271611;4.37693622473809e-59;8.31702054550713e-57;1119;"glycosyltransferase family 34 protein"
"NRRL3_03310";1692.72034768993;1.80794951148137;0.111763245712101;16.1766017080302;7.37544527897868e-59;1.37503348682242e-56;1710;"cytochrome P450-like protein"
"NRRL3_04239";719.718406376257;3.24937337209378;0.201156539719579;16.1534562914213;1.07373001364408e-58;1.96472708607724e-56;1647;"major facilitator superfamily protein"
"NRRL3_02339";3438.4490366977;1.73152759467105;0.107466812989669;16.1122075411086;2.09412389450388e-58;3.76218876392597e-56;1182;"hypothetical protein"
"NRRL3_01252";290.818644677626;5.35601449126319;0.333620753369411;16.0542005770624;5.34227951755901e-58;9.42626141303582e-56;1509;"cytochrome P450-like protein"
"NRRL3_01256";328.309735524156;3.89605718053989;0.246044025233492;15.8347969508407;1.79036154805795e-56;3.10360744848432e-54;1839;"fungal-specific transcription factor"
"NRRL3_01333";740.617338051858;-7.65422271548989;0.483921132037679;-15.8170871424022;2.37216314387486e-56;4.04126621114267e-54;1080;"hypothetical protein"
"NRRL3_02734";1177.02088733391;-3.40629574715723;0.218146040134096;-15.6147493901946;5.77716690879668e-55;9.67528580098644e-53;1074;"uncharacterized protein"
"NRRL3_10912";17460.9573793035;-2.05408193896531;0.132247694812918;-15.5320812349212;2.10437651556849e-54;3.46555739172204e-52;18807;"non-ribosomal peptide synthetase"
"NRRL3_03576";531.507334446112;-3.1048721270859;0.200025235476315;-15.5224020593819;2.44716063744848e-54;3.96399905879154e-52;1344;"zinc finger domain-containing protein, C2H2-type"
"NRRL3_01868";1905.70123997239;-1.67058265836747;0.109555094338497;-15.2487902863358;1.67711556906409e-52;2.67283531256811e-50;1596;"cytochrome P450"
"NRRL3_01223";601.413516563257;-3.4364553035796;0.225573598392877;-15.2342974889924;2.09365399092136e-52;3.28371350544348e-50;4185;"glycoside hydrolase family 55 protein"
"NRRL3_04413";1519.88140879685;2.0484640457687;0.134734011430334;15.2037635042722;3.33875454572674e-52;5.15472401036343e-50;1182;"wax synthase domain-containing protein"
"NRRL3_05612";512.122341861295;-4.39428927064736;0.292922898838695;-15.0015218614479;7.17549987217563e-51;1.09078637287642e-48;465;"zinc finger domain-containing protein, RING-type"
"NRRL3_03466";1010.78558580448;-2.26003660631507;0.154486861504867;-14.6293127085365;1.82622600715778e-48;2.69327450398895e-46;834;"orotidine 5'-phosphate decarboxylase PyrG"
"NRRL3_09579";940.060765175631;-3.16240659170399;0.220106748978181;-14.3676039302978;8.26412397569559e-47;1.20085013240953e-44;1050;"3-methyl-2-oxobutanoate hydroxymethyltransferase"
"NRRL3_01407";1573.54945194531;1.70341335419698;0.119636787184312;14.2382071124386;5.30712199061079e-46;7.59995252017756e-44;1329;"phosphatidylinositol-specific phospholipase C, X domain-containing protein"
"NRRL3_04939";867.887177196319;2.56577054692126;0.180253441479582;14.2342388908669;5.61711526183991e-46;7.92895941460574e-44;3210;"ankyrin repeat domain-containing protein"
"NRRL3_11736";1063.83461896202;1.97644604591324;0.139448771562399;14.1732768511973;1.34094371711634e-45;1.86617815053895e-43;1854;"serine-type carboxypeptidase"
"NRRL3_10385";805.158582244844;2.10323039853291;0.150301608392511;13.9933991460714;1.71037721352443e-44;2.34725517317152e-42;5034;"histidine kinase-like ATPase domain-containing protein"
"NRRL3_07111";697.448305491958;-2.1918336518226;0.157060864613458;-13.9553138028173;2.92013618524071e-44;3.95258433511828e-42;2067;"tryptophan synthase"
"NRRL3_00016";11992.3808812258;-1.28648534380074;0.0929778071420677;-13.8364775783002;1.53548534569455e-43;2.05028793254161e-41;2244;"alpha-galactosidase Mel36C"
"NRRL3_01699";849.216924138273;-3.40448758983803;0.246144312233865;-13.8312665401075;1.65087954286709e-43;2.17497876840929e-41;276;"hypothetical protein"
"NRRL3_07125";1434.51903802254;-10.4224626294838;0.754668216469427;-13.8106553343976;2.19822661531841e-43;2.85798384025805e-41;1179;"fungal-specific transcription factor"
"NRRL3_05766";11262.0438242286;-1.56906487519214;0.113738815482594;-13.7953333568193;2.71893106035451e-43;3.48905945550168e-41;1383;"hydroxymethylglutaryl-CoA synthase"
"NRRL3_06717";954.125699587156;-2.54978587752272;0.186358840736235;-13.6821299566442;1.29833093766489e-42;1.64471897372651e-40;567;"hypothetical protein"
"NRRL3_09550";3083.00216202085;-9.02526786285277;0.661265921857126;-13.6484696466829;2.06162656993036e-42;2.57859900474454e-40;1485;"major facilitator superfamily protein, efflux pump"
"NRRL3_07129";630.903372779246;-8.65534530499339;0.638245483222631;-13.5611540269596;6.8056851448474e-42;8.40587186452964e-40;378;"hypothetical protein"
"NRRL3_06149";250.178124621803;3.77188398839527;0.27839604259992;13.548626457366;8.07265607697153e-42;9.84764378969823e-40;489;"hypothetical protein"
"NRRL3_10497";3141.52099647032;-2.86044003068205;0.213655829764371;-13.3880738655091;7.09981626191246e-41;8.55527859560451e-39;825;"globin/protoglobin domain-containing protein"
"NRRL3_11107";3548.27140633868;1.37244817053806;0.102862119516861;13.3426005315114;1.30815208891316e-40;1.5573314205483e-38;381;"nuclear transport factor 2 domain-containing protein"
"NRRL3_01610";288.25120113408;-5.14713679675103;0.387036687658733;-13.2988343505293;2.35104990654224e-40;2.76556239601712e-38;1281;"aspartic peptidase-like protein"
"NRRL3_04331";3921.7317940132;1.89395928466949;0.142582103364509;13.2832889961485;2.89398078531713e-40;3.36416754584925e-38;1041;"uncharacterized protein"
"NRRL3_00442";211.126185889205;-4.4654873402571;0.339368415216023;-13.1582290515003;1.52621291714086e-39;1.75354765514754e-37;360;"hypothetical protein"
"NRRL3_07923";593.507184911438;2.63418786301396;0.200318016158876;13.1500297053898;1.70107606908032e-39;1.93199225730835e-37;1302;"hypothetical protein"
"NRRL3_04601";2727.88213903355;1.72063672497799;0.131353000077611;13.0993332772098;3.32162655588724e-39;3.72965818167293e-37;1041;"hypothetical protein"
"NRRL3_08139";10266.3477853914;-1.70550047361255;0.131037217200001;-13.0153899026218;1.00030408135644e-38;1.11056231773966e-36;756;"SAP domain-containing protein"
"NRRL3_07995";2044.51466907094;1.94408237120136;0.149541337818976;13.0003007834177;1.21863044580262e-38;1.33792082610841e-36;1830;"FAD/NAD(P)-binding domain-containing protein"
"NRRL3_01652";3309.75432091458;2.65066186644779;0.206186932819585;12.8556248943629;7.99769293971746e-38;8.68408834476354e-36;1725;"xylose transporter"
"NRRL3_10150";846.290504401527;2.06494069689434;0.161413587473554;12.7928554789891;1.79746060535883e-37;1.93051176538593e-35;2496;"dynamin superfamily protein"
"NRRL3_04363";286.484141720663;3.30710517280586;0.259002175935266;12.7686385678567;2.45409335068713e-37;2.57966982958932e-35;927;"hypothetical protein"
"NRRL3_10041";696.191762776408;1.93497998523533;0.15153652811721;12.7690663715001;2.44064346426389e-37;2.57966982958932e-35;1641;"glycoside hydrolase family 76 protein"
"NRRL3_02366";466.788667157413;4.67764121731465;0.367917461766939;12.7138331376013;4.95450020307434e-37;5.15320173753448e-35;1164;"iron permease, plasma membrane"
"NRRL3_00182";1350.60238680117;1.7366735610301;0.136684649150891;12.7056957150537;5.49783059215542e-37;5.65875667511331e-35;876;"S-adenosyl-L-methionine-dependent methyltransferase domain-containing protein"
"NRRL3_01060";473.003640279446;-3.04502612415833;0.240453472231905;-12.6636812348526;9.39865360327362e-37;9.57403054164398e-35;1650;"acyl-CoA ligase"
"NRRL3_11262";1920.67265759623;1.65822461182858;0.131701406818464;12.5907889056512;2.37289880873593e-36;2.39251154378772e-34;2448;"oligopeptide transporter OPT superfamily protein"
"NRRL3_06024";8114.27764954428;1.88532654746653;0.149871527844406;12.5796178539251;2.73348965658321e-36;2.7282435653231e-34;489;"ribose-5-phosphate isomerase"
"NRRL3_11768";258.640791854813;-3.11834572569521;0.249298233094241;-12.5084950943732;6.70830923631508e-36;6.62848035640293e-34;2187;"polyprenyl synthetase-like protein"
"NRRL3_11801";797.291292904398;1.92487216510739;0.154207958366621;12.482314048482;9.32369435143445e-36;9.1215271174776e-34;3039;"dynamin superfamily protein"
"NRRL3_01337";293.930621993455;-5.2875095613096;0.428998719035799;-12.3252339149021;6.62509599110158e-35;6.41789936157595e-33;1569;"hypothetical protein"
"NRRL3_08378";6696.15909052618;1.29222051831366;0.105454798848909;12.2537858155236;1.60332740255951e-34;1.53810466647481e-32;1017;"spherulation-specific family 4 protein"
"NRRL3_11005";475.580262886513;-2.36180634914669;0.193776506321212;-12.1883008109954;3.58825173466144e-34;3.40918417213362e-32;1647;"F-box domain-containing protein"
"NRRL3_07924";1010.79589829458;2.62342360265766;0.21573683049642;12.1602954702776;5.05754300370507e-34;4.7593888018676e-32;1587;"ubiquitin 3 binding protein But2, C-terminal domain-containing protein"
"NRRL3_04669";238.387073987805;-4.16698980232272;0.342839732098001;-12.1543374708145;5.44010159044273e-34;5.07109847312874e-32;252;"hypothetical protein"
"NRRL3_11101";395.43338605034;-3.21294596482893;0.267386060580288;-12.0161311246223;2.92341749167703e-33;2.69965310609913e-31;1197;"FAD-dependent oxidoreductase domain-containing protein"
"NRRL3_06441";167.475879857774;4.64459145495171;0.389895817193205;11.912391080231;1.02009416950129e-32;9.33291711929841e-31;1233;"NAD-dependent epimerase/dehydratase domain-containing protein"
"NRRL3_05478";1472.02832687878;1.91646921495041;0.161463729933477;11.8693480928503;1.7079329764798e-32;1.54826474684375e-30;1551;"amino acid/polyamine transporter I family protein"
"NRRL3_10375";16704.7098438242;11.5022944064659;0.970381859102983;11.853369164484;2.06709510748883e-32;1.85681515973611e-30;7776;"polyketide synthase"
"NRRL3_08017";354.087447767726;2.31111555725969;0.195566221586095;11.8175599984288;3.16751148652012e-32;2.81965594579327e-30;1659;"carotenoid oxygenase-like protein"
"NRRL3_03904";401.392996631847;2.34354870474681;0.198689433266151;11.7950344224273;4.14031301154392e-32;3.65271722027371e-30;1575;"FAD linked oxidase, N-terminal domain-containing protein"
"NRRL3_09727";618.197319184607;2.02329520915147;0.171634667880518;11.7883830471824;4.48060780102399e-32;3.91795448512549e-30;1521;"protein kinase domain-containing protein"
"NRRL3_01373";413.422880683919;-3.03142754722447;0.258822777542512;-11.7123677290209;1.10159690179568e-31;9.54813946196766e-30;1725;"purine permease"
"NRRL3_07736";1017.87735598812;1.81880537581749;0.155741362432665;11.6783707770879;1.64416656483614e-31;1.41269650670834e-29;1167;"fungal-specific transcription factor"
"NRRL3_09068";1521.81775461372;1.51480628780134;0.130054365018314;11.6474851696675;2.36330445449127e-31;2.01308718231278e-29;729;"hypothetical protein"
"NRRL3_10411";690.731518281991;2.36521679835093;0.203160628861002;11.6421021711306;2.51733405448035e-31;2.12596391387354e-29;1422;"FAD-binding domain-containing protein"
"NRRL3_01744";229.692410282701;3.11104251088718;0.268043653916303;11.6064770250394;3.82033605417865e-31;3.19904580943553e-29;3642;"ankyrin repeat domain-containing protein"
"NRRL3_06374";1637.86757910088;-1.69693057240185;0.147212217407301;-11.5271042192568;9.63295686025996e-31;7.99859216270829e-29;1428;"FAD-binding domain-containing protein"
"NRRL3_05613";614.820828749907;-3.11562145204823;0.27050941556606;-11.5176081598808;1.07555228302325e-30;8.85627675712729e-29;1005;"decarboxylase"
"NRRL3_01296";179.310240470305;-3.98643120251112;0.346391116036918;-11.5084683698592;1.19583339961505e-30;9.76531390214569e-29;930;"mono- and diacylglycerol lipase"
"NRRL3_04274";196.518216128187;3.33882761415969;0.291105904013724;11.4694603171026;1.87827000436949e-30;1.52124474698155e-28;846;"hypothetical protein"
"NRRL3_08333";3766.4938407958;1.28093621968013;0.111807479630799;11.4566236884144;2.17842329116554e-30;1.75000004390299e-28;306;"uncharacterized protein"
"NRRL3_00711";255.199998207662;-4.02022845807137;0.351354306077218;-11.442092464886;2.57596712317199e-30;2.05267186645665e-28;1494;"nuclear transport factor 2 domain-containing protein"
"NRRL3_02851";808.835118439452;1.67344089455303;0.146377115047493;11.4323942920318;2.88054888287488e-30;2.27701628093493e-28;765;"alpha/beta hydrolase fold-1 domain-containing protein"
"NRRL3_06779";1520.74654704387;-7.57554999479427;0.663725957934638;-11.4136714169921;3.57322201060987e-30;2.80214338784413e-28;246;"hypothetical protein"
"NRRL3_05167";1230.8586128257;-1.54748393630276;0.135895931650915;-11.3872719919084;4.83903306271192e-30;3.76492013328004e-28;1320;"pantothenate kinase"
"NRRL3_02700";1375.90959683705;-1.90813567790258;0.167807139035935;-11.3710041710083;5.83128299846072e-30;4.50147713342113e-28;357;"hypothetical protein"
"NRRL3_08475";446.942031680409;-2.60727069585622;0.229591171920908;-11.356145247407;6.91280587596639e-30;5.29499495042046e-28;747;"hypothetical protein"
"NRRL3_01234";4342.18459134637;-8.00518672173565;0.70945084902538;-11.2836382291076;1.5807052889352e-29;1.20145761230529e-27;429;"terrelysin"
"NRRL3_11620";341.906727774647;-2.56174023092564;0.227222961244297;-11.2741257173011;1.76119447111972e-29;1.32842462359801e-27;270;"heat shock protein 9"
"NRRL3_01350";373.263816450155;-8.48437227250636;0.75355803855087;-11.2590826963007;2.08922033900843e-29;1.56390804316229e-27;243;"hypothetical protein"
"NRRL3_02934";16109.8198562826;1.15887784767359;0.103517685675275;11.1949744636765;4.31526566062452e-29;3.20595037538578e-27;1116;"hypothetical protein"
"NRRL3_09069";1141.44867621383;1.37619843115938;0.123139989116999;11.1758856000207;5.35139016603785e-29;3.9460512112403e-27;1176;"hypothetical protein"
"NRRL3_10039";310.460757288267;3.61501246705933;0.324649057154629;11.1351392754469;8.46126428552431e-29;6.19301869668635e-27;1509;"hypothetical protein"
"NRRL3_08347";269.26038241129;2.63577475502676;0.236890957239283;11.1265317416248;9.31912692030248e-29;6.77075684555212e-27;2109;"glutamine-fructose-6-phosphate aminotransferase"
"NRRL3_00183";1729.74560771078;1.23871470694877;0.111375498615628;11.1219677787818;9.80844258062809e-29;7.07424971818877e-27;759;"phosphatidylethanolamine-binding protein-like protein"
"NRRL3_04564";416.874535962214;2.42764424179336;0.218758045650843;11.0973940847327;1.29154833281714e-28;9.24767324388851e-27;2244;"hypothetical protein"
"NRRL3_03769";559.650865928025;1.88315308223323;0.170348379284851;11.0547167524517;2.07992321151313e-28;1.47854109733534e-26;1716;"leucine-rich repeat domain-containing protein"
"NRRL3_00804";3326.52050980652;-1.68496050699371;0.1527614479353;-11.0300113658738;2.73830440737994e-28;1.93265613209437e-26;951;"basic helix-loop-helix transcription factor"
"NRRL3_08773";3199.98751373087;1.29899379326821;0.118038080591247;11.0048705194256;3.62035637668038e-28;2.5370738551758e-26;1611;"GMC oxidoreductase"
"NRRL3_09726";271.03645851415;2.36080131018716;0.21573119256159;10.9432543442375;7.15833455867385e-28;4.98109181508847e-26;1896;"protein kinase domain-containing protein"
"NRRL3_10052";13280.936520257;0.958311777714058;0.0876293060766942;10.9359735985508;7.75688435398338e-28;5.35984435676292e-26;1623;"major facilitator superfamily glucose transporter"
"NRRL3_02968";1117.48644462575;1.53695286829663;0.140572444692338;10.9335287698842;7.96880334750397e-28;5.46803790810324e-26;1062;"hypothetical protein"
"NRRL3_07336";272.41332284685;2.42929342562034;0.22263055373732;10.911770126964;1.01265061489141e-27;6.90069015568416e-26;990;"arylamine N-acetyltransferase-like protein"
"NRRL3_00251";2747.03204951442;-1.33979498202222;0.123173959669685;-10.8772583557039;1.47945947503136e-27;1.00126979950582e-25;612;"cell-wall synthesis Kre9/Knh1 family protein"
"NRRL3_01178";994.706584906783;1.40746500355273;0.13042878104969;10.7910615450475;3.793817512056e-27;2.5501163834439e-25;1632;"carboxylesterase family protein"
"NRRL3_10463";11967.9303210159;1.42355420454213;0.132051150088872;10.7803241666889;4.26380491400035e-27;2.84666596994848e-25;693;"hypothetical protein"
"NRRL3_08499";304.451508394652;-2.60725415540439;0.242157761891404;-10.7667585587185;4.94091192851028e-27;3.27658729970537e-25;1641;"uncharacterized protein"
"NRRL3_02980";885.283933304443;2.52408066558974;0.235111722641799;10.7356648882849;6.92188862094388e-27;4.55967876423643e-25;345;"hypothetical protein"
"NRRL3_02040";367.404736528083;-2.25263425062856;0.209995468154452;-10.7270612572064;7.59739720969141e-27;4.97151535291131e-25;1275;"RNA recognition motif domain-containing protein"
"NRRL3_09822";1191.79002400404;1.93516473260422;0.180843752043341;10.7007552693357;1.00951987807702e-26;6.56254336531514e-25;1791;"AAA-type ATPase family protein"
"NRRL3_07454";339.302683592473;2.46373979608592;0.230862561373507;10.6718897227338;1.37795042908233e-26;8.89903803252451e-25;7194;"alpha-1,3-glucan synthase AgsA"
"NRRL3_08701";181.535360250058;-3.78539234449763;0.354740027411454;-10.6708915036167;1.39283543618598e-26;8.9367577564634e-25;1239;"endo-1,6-beta-galactanase"
"NRRL3_07260";156.494527102569;-3.30235412261673;0.310547503603132;-10.6339741401915;2.07095191352642e-26;1.32019844242288e-24;1152;"taurine dioxygenase"
"NRRL3_01334";240.836471141646;-5.23275937342614;0.495276510602176;-10.5653291876571;4.31452249448647e-26;2.73280748512954e-24;4248;"non-ribosomal peptide synthetase"
"NRRL3_03954";1015.51688432136;1.42243139616612;0.134709585483378;10.5592441032464;4.60353866698483e-26;2.89729716996669e-24;1536;"alpha-mannosyltransferase-like protein"
"NRRL3_09709";758.623869771042;1.74237056992725;0.168002247473842;10.371114649514;3.35587179057045e-25;2.09869425079915e-23;3996;"CHAT domain-containing protein"
"NRRL3_09381";654.898105376373;1.56752667671134;0.152010947902791;10.3119327807478;6.22368829817231e-25;3.86768956441765e-23;2667;"hypothetical protein"
"NRRL3_01321";1149.82064269495;1.28379171410187;0.124514429946908;10.3103850264525;6.32474204838494e-25;3.90592351125573e-23;1416;"major facilitator superfamily protein, efflux pump"
"NRRL3_00509";545.255328308078;-2.04826698688824;0.199332665444679;-10.2756213203636;9.07577395564616e-25;5.57004487302731e-23;1344;"alcohol dehydrogenase domain-containing protein"
"NRRL3_00462";1604.97415744959;1.69087001174458;0.16461031377069;10.2719566776359;9.42728991894266e-25;5.75006491907855e-23;6462;"polyketide synthase AlbA/FwnA"
"NRRL3_00777";181.297095975501;-2.83411215132589;0.276061577422647;-10.2662318232968;1.00036008652894e-24;6.06414602146776e-23;1419;"alpha,alpha-trehalose-phosphate synthase [UDP-forming]"
"NRRL3_02661";280.441638394851;-2.90040451999418;0.282627672114778;-10.2622807536563;1.04215716801244e-24;6.27899693727495e-23;1683;"FAD/NAD(P)-binding domain-containing protein"
"NRRL3_05773";2759.30486963291;-1.09694648470739;0.107075864674053;-10.2445727433216;1.25176704965829e-24;7.49618801071125e-23;1206;"branched-chain amino acid aminotransferase"
"NRRL3_08557";392.161733956806;2.28052009106939;0.222933957245901;10.2295770426482;1.46156303933481e-24;8.69982192269113e-23;2664;"ankyrin repeat domain-containing protein"
"NRRL3_09163";333.012731968391;-2.37271362847411;0.232189074563839;-10.2188857633857;1.63206016245702e-24;9.65651884145975e-23;1671;"AIF-like oxidoreductase"
"NRRL3_08744";190.811628168965;3.90804737675766;0.382904441227016;10.2063255370827;1.85767017066927e-24;1.09259755692756e-22;1551;"amino acid/polyamine transporter I family protein"
