"category";"over_represented_pvalue";"under_represented_pvalue";"numDEInCat";"numInCat";"term";"ontology";"over_represented_padj"
"GO:0006744";0.000233310851343879;1;4;4;"ubiquinone biosynthetic process";"BP";0.0273207006923682
"GO:0006118";0.000323263545574904;0.999803236233406;82;472;NA;NA;0.0360515820826869
"GO:0006099";0.000344324878612535;0.999965399966918;7;13;"tricarboxylic acid cycle";"BP";0.036654948441389
"GO:0016651";0.000495668049166233;0.999977307142576;5;7;"oxidoreductase activity, acting on NAD(P)H";"MF";0.0504719378759704
"GO:0005740";0.000611028625623641;0.999970623048447;5;7;"mitochondrial envelope";"CC";0.0596262100504403
"GO:0046912";0.00080118511231796;0.999924633698239;6;11;"transferase activity, transferring acyl groups, acyl groups converted into alkyl on transfer";"MF";0.0750550213219465
"GO:0051539";0.000965054473785364;0.999937116630603;5;8;"4 iron, 4 sulfur cluster binding";"MF";0.0850286734709155
"GO:0008033";0.000980262247529769;0.999870533170513;7;15;"tRNA processing";"BP";0.0850286734709155
"GO:0008425";0.00103415235705732;0.99986208521645;7;15;"2-polyprenyl-6-methoxy-1,4-benzoquinone methyltransferase activity";"MF";0.0864994578652941
"GO:0042254";0.0012693449249715;0.99991173821908;5;8;"ribosome biogenesis";"BP";0.0957648094491231
"GO:0004812";0.00152853673438433;0.999505123168032;15;55;"aminoacyl-tRNA ligase activity";"MF";0.0957648094491231
"GO:0004086";0.00165221872846997;1;3;3;NA;NA;0.0957648094491231
"GO:0003878";0.00174867128989099;1;3;3;"ATP citrate synthase activity";"MF";0.0957648094491231
"GO:0003849";0.00177253806642461;1;3;3;"3-deoxy-7-phosphoheptulonate synthase activity";"MF";0.0957648094491231
"GO:0004619";0.00195820824253004;1;3;3;"phosphoglycerate mutase activity";"MF";0.0957648094491231
"GO:0046537";0.00195820824253004;1;3;3;"2,3-bisphosphoglycerate-independent phosphoglycerate mutase activity";"MF";0.0957648094491231
"GO:0046538";0.00195820824253004;1;3;3;"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase activity";"MF";0.0957648094491231
"GO:0004222";0.00196181052697074;0.999632144689337;8;21;"metalloendopeptidase activity";"MF";0.0957648094491231
"GO:0015976";0.00211261480534839;1;3;3;"carbon utilization";"BP";0.0957648094491231
"GO:0015986";0.00239682783556393;0.999542593971842;8;20;"ATP synthesis coupled proton transport";"BP";0.0957648094491231
"GO:0006418";0.00249660600450741;0.999181717849741;14;52;"tRNA aminoacylation for protein translation";"BP";0.0957648094491231
"GO:0000810";0.00250963051080179;0.999219014163628;13;47;"diacylglycerol diphosphate phosphatase activity";"MF";0.0957648094491231
"GO:0004787";0.00250963051080179;0.999219014163628;13;47;"thiamine-pyrophosphatase activity";"MF";0.0957648094491231
"GO:0008413";0.00250963051080179;0.999219014163628;13;47;"8-oxo-7,8-dihydroguanosine triphosphate pyrophosphatase activity";"MF";0.0957648094491231
"GO:0008758";0.00250963051080179;0.999219014163628;13;47;"UDP-2,3-diacylglucosamine hydrolase activity";"MF";0.0957648094491231
"GO:0008796";0.00250963051080179;0.999219014163628;13;47;"bis(5'-nucleosyl)-tetraphosphatase activity";"MF";0.0957648094491231
"GO:0008828";0.00250963051080179;0.999219014163628;13;47;"dATP pyrophosphohydrolase activity";"MF";0.0957648094491231
"GO:0016462";0.00250963051080179;0.999219014163628;13;47;"pyrophosphatase activity";"MF";0.0957648094491231
"GO:0019176";0.00250963051080179;0.999219014163628;13;47;"dihydroneopterin monophosphate phosphatase activity";"MF";0.0957648094491231
"GO:0019177";0.00250963051080179;0.999219014163628;13;47;"dihydroneopterin triphosphate pyrophosphohydrolase activity";"MF";0.0957648094491231
"GO:0043141";0.00250963051080179;0.999219014163628;13;47;"ATP-dependent 5'-3' DNA helicase activity";"MF";0.0957648094491231
"GO:0006122";0.00251981411313816;1;3;3;"mitochondrial electron transport, ubiquinol to cytochrome c";"BP";0.0957648094491231
"GO:0015450";0.00330825214654949;0.999811768878472;4;6;"P-P-bond-hydrolysis-driven protein transmembrane transporter activity";"MF";0.0957648094491231
"GO:0016469";0.00368989631721032;0.998943808694145;11;36;"proton-transporting two-sector ATPase complex";"CC";0.0957648094491231
"GO:0009073";0.00389299695902079;0.999570221060271;5;10;"aromatic amino acid family biosynthetic process";"BP";0.0957648094491231
"GO:0000179";0.00404812815348556;0.999387129361555;6;14;"rRNA (adenine-N6,N6-)-dimethyltransferase activity";"MF";0.0957648094491231
"GO:0003880";0.00404812815348556;0.999387129361555;6;14;"protein C-terminal carboxyl O-methyltransferase activity";"MF";0.0957648094491231
"GO:0008169";0.00404812815348556;0.999387129361555;6;14;"C-methyltransferase activity";"MF";0.0957648094491231
"GO:0008172";0.00404812815348556;0.999387129361555;6;14;"S-methyltransferase activity";"MF";0.0957648094491231
"GO:0008173";0.00404812815348556;0.999387129361555;6;14;"RNA methyltransferase activity";"MF";0.0957648094491231
"GO:0008174";0.00404812815348556;0.999387129361555;6;14;"mRNA methyltransferase activity";"MF";0.0957648094491231
"GO:0008175";0.00404812815348556;0.999387129361555;6;14;"tRNA methyltransferase activity";"MF";0.0957648094491231
"GO:0008276";0.00404812815348556;0.999387129361555;6;14;"protein methyltransferase activity";"MF";0.0957648094491231
"GO:0008326";0.00404812815348556;0.999387129361555;6;14;NA;NA;0.0957648094491231
"GO:0008649";0.00404812815348556;0.999387129361555;6;14;"rRNA methyltransferase activity";"MF";0.0957648094491231
"GO:0008650";0.00404812815348556;0.999387129361555;6;14;"rRNA (uridine-2'-O-)-methyltransferase activity";"MF";0.0957648094491231
"GO:0009008";0.00404812815348556;0.999387129361555;6;14;"DNA-methyltransferase activity";"MF";0.0957648094491231
"GO:0009383";0.00404812815348556;0.999387129361555;6;14;"rRNA (cytosine-C5-)-methyltransferase activity";"MF";0.0957648094491231
"GO:0016205";0.00404812815348556;0.999387129361555;6;14;"selenocysteine methyltransferase activity";"MF";0.0957648094491231
"GO:0016273";0.00404812815348556;0.999387129361555;6;14;"arginine N-methyltransferase activity";"MF";0.0957648094491231
"GO:0016274";0.00404812815348556;0.999387129361555;6;14;"protein-arginine N-methyltransferase activity";"MF";0.0957648094491231
"GO:0016278";0.00404812815348556;0.999387129361555;6;14;"lysine N-methyltransferase activity";"MF";0.0957648094491231
"GO:0016279";0.00404812815348556;0.999387129361555;6;14;"protein-lysine N-methyltransferase activity";"MF";0.0957648094491231
"GO:0016300";0.00404812815348556;0.999387129361555;6;14;"tRNA (uracil) methyltransferase activity";"MF";0.0957648094491231
"GO:0016423";0.00404812815348556;0.999387129361555;6;14;"tRNA (guanine) methyltransferase activity";"MF";0.0957648094491231
"GO:0016424";0.00404812815348556;0.999387129361555;6;14;NA;NA;0.0957648094491231
"GO:0016426";0.00404812815348556;0.999387129361555;6;14;"tRNA (adenine) methyltransferase activity";"MF";0.0957648094491231
"GO:0016427";0.00404812815348556;0.999387129361555;6;14;"tRNA (cytosine) methyltransferase activity";"MF";0.0957648094491231
"GO:0016431";0.00404812815348556;0.999387129361555;6;14;NA;NA;0.0957648094491231
"GO:0016433";0.00404812815348556;0.999387129361555;6;14;"rRNA (adenine) methyltransferase activity";"MF";0.0957648094491231
"GO:0016434";0.00404812815348556;0.999387129361555;6;14;"rRNA (cytosine) methyltransferase activity";"MF";0.0957648094491231
"GO:0016435";0.00404812815348556;0.999387129361555;6;14;"rRNA (guanine) methyltransferase activity";"MF";0.0957648094491231
"GO:0016436";0.00404812815348556;0.999387129361555;6;14;"rRNA (uridine) methyltransferase activity";"MF";0.0957648094491231
"GO:0018423";0.00404812815348556;0.999387129361555;6;14;"protein C-terminal leucine carboxyl O-methyltransferase activity";"MF";0.0957648094491231
"GO:0018707";0.00404812815348556;0.999387129361555;6;14;"1-phenanthrol methyltransferase activity";"MF";0.0957648094491231
"GO:0019702";0.00404812815348556;0.999387129361555;6;14;"protein-arginine N5-methyltransferase activity";"MF";0.0957648094491231
"GO:0030792";0.00404812815348556;0.999387129361555;6;14;"methylarsonite methyltransferase activity";"MF";0.0957648094491231
"GO:0043770";0.00404812815348556;0.999387129361555;6;14;"demethylmenaquinone methyltransferase activity";"MF";0.0957648094491231
"GO:0043776";0.00404812815348556;0.999387129361555;6;14;"cobalt-precorrin-6B C5-methyltransferase activity";"MF";0.0957648094491231
"GO:0043777";0.00404812815348556;0.999387129361555;6;14;"cobalt-precorrin-7 C15-methyltransferase activity";"MF";0.0957648094491231
"GO:0043780";0.00404812815348556;0.999387129361555;6;14;"cobalt-precorrin-5B C1-methyltransferase activity";"MF";0.0957648094491231
"GO:0043782";0.00404812815348556;0.999387129361555;6;14;"cobalt-precorrin-3 C17-methyltransferase activity";"MF";0.0957648094491231
"GO:0043790";0.00404812815348556;0.999387129361555;6;14;NA;NA;0.0957648094491231
"GO:0043791";0.00404812815348556;0.999387129361555;6;14;"dimethylamine methyltransferase activity";"MF";0.0957648094491231
"GO:0043803";0.00404812815348556;0.999387129361555;6;14;"hydroxyneurosporene-O-methyltransferase activity";"MF";0.0957648094491231
"GO:0043827";0.00404812815348556;0.999387129361555;6;14;"tRNA (adenine-57, 58-N(1)-) methyltransferase activity";"MF";0.0957648094491231
"GO:0043833";0.00404812815348556;0.999387129361555;6;14;"methylamine-specific methylcobalamin:coenzyme M methyltransferase activity";"MF";0.0957648094491231
"GO:0043834";0.00404812815348556;0.999387129361555;6;14;"trimethylamine methyltransferase activity";"MF";0.0957648094491231
"GO:0043851";0.00404812815348556;0.999387129361555;6;14;"methanol-specific methylcobalamin:coenzyme M methyltransferase activity";"MF";0.0957648094491231
"GO:0043852";0.00404812815348556;0.999387129361555;6;14;"monomethylamine methyltransferase activity";"MF";0.0957648094491231
"GO:0030170";0.00495659653906891;0.997944761326072;18;79;"pyridoxal phosphate binding";"MF";0.116083490944994
"GO:0003910";0.00569509523583344;0.999270872916379;5;11;"DNA ligase (ATP) activity";"MF";0.132058544973484
"GO:0008177";0.00691818866532441;0.999764078551067;3;4;"succinate dehydrogenase (ubiquinone) activity";"MF";0.158847037786174
"GO:0006120";0.00713937059679085;0.999753599668321;3;4;"mitochondrial electron transport, NADH to ubiquinone";"BP";0.162334038229943
"GO:0003723";0.00745576337490352;0.996684804751269;19;86;"RNA binding";"MF";0.166652226244312
"GO:0016226";0.00747519420743195;0.999737443501261;3;4;"iron-sulfur cluster assembly";"BP";0.166652226244312
"GO:0004089";0.00754275661054528;0.99973415785522;3;4;"carbonate dehydratase activity";"MF";0.166652226244312
"GO:0019201";0.0077979715541813;0.999721641460686;3;4;NA;NA;0.170680835326099
"GO:0008170";0.00885115318842184;0.998329431037888;6;16;"N-methyltransferase activity";"MF";0.19193889599337
"GO:0005737";0.00902847099870081;0.99492436628487;33;180;"cytoplasm";"CC";0.193987881458324
"GO:0006626";0.00943199319988523;0.999637737138556;3;4;"protein targeting to mitochondrion";"BP";0.1972297149476
"GO:0042719";0.00943199319988523;0.999637737138556;3;4;"mitochondrial intermembrane space protein transporter complex";"CC";0.1972297149476
"GO:0045039";0.00943199319988523;0.999637737138556;3;4;"protein import into mitochondrial inner membrane";"BP";0.1972297149476
"GO:0009082";0.00961734041991944;0.99899999371434;4;8;"branched-chain amino acid biosynthetic process";"BP";0.199325763393375
"GO:0008171";0.0119042402805911;0.995852263132142;11;43;"O-methyltransferase activity";"MF";0.244559041553897
"GO:0016818";0.0136098522459159;0.999128513976412;3;5;"hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides";"MF";0.259480067036835
"GO:0006541";0.0138614371934008;0.99910607306227;3;5;"glutamine metabolic process";"BP";0.259480067036835
"GO:0009058";0.0139639812299854;0.993482229164599;18;87;"biosynthetic process";"BP";0.259480067036835
"GO:0008271";0.0139941588938626;1;2;2;"secondary active sulfate transmembrane transporter activity";"MF";0.259480067036835
"GO:0008272";0.0139941588938626;1;2;2;"sulfate transport";"BP";0.259480067036835
"GO:0003852";0.0141417851110432;1;2;2;"2-isopropylmalate synthase activity";"MF";0.259480067036835
"GO:0006177";0.0141822024799496;1;2;2;"GMP biosynthetic process";"BP";0.259480067036835
"GO:0004240";0.0142247396622173;1;2;2;NA;NA;0.259480067036835
"GO:0017087";0.0142247396622173;1;2;2;"mitochondrial processing peptidase complex";"CC";0.259480067036835
"GO:0004414";0.0142365976225062;1;2;2;"homoserine O-acetyltransferase activity";"MF";0.259480067036835
"GO:0004372";0.0142582304980484;1;2;2;"glycine hydroxymethyltransferase activity";"MF";0.259480067036835
"GO:0006563";0.0142582304980484;1;2;2;"L-serine metabolic process";"BP";0.259480067036835
"GO:0016743";0.0143127614530445;1;2;2;"carboxyl- or carbamoyltransferase activity";"MF";0.259480067036835
"GO:0006783";0.0143681803061757;1;2;2;"heme biosynthetic process";"BP";0.259480067036835
"GO:0004421";0.0143767503293464;1;2;2;"hydroxymethylglutaryl-CoA synthase activity";"MF";0.259480067036835
"GO:0008941";0.0144605251631218;1;2;2;"nitric oxide dioxygenase activity";"MF";0.259480067036835
"GO:0006535";0.0145140430323763;1;2;2;"cysteine biosynthetic process from serine";"BP";0.259480067036835
"GO:0051205";0.0146836229392886;1;2;2;"protein insertion into membrane";"BP";0.260523067604651
"GO:0000104";0.0148725636277894;0.999014230005227;3;5;"succinate dehydrogenase activity";"MF";0.261546226876833
"GO:0015940";0.0149646432115695;1;2;2;"pantothenate biosynthetic process";"BP";0.261546226876833
"GO:0004590";0.015126500453693;1;2;2;"orotidine-5'-phosphate decarboxylase activity";"MF";0.262416770833696
"GO:0008308";0.0153654980444122;1;2;2;"voltage-gated anion channel activity";"MF";0.263416536025502
"GO:0004408";0.0154390067003573;1;2;2;"holocytochrome-c synthase activity";"MF";0.263416536025502
"GO:0004128";0.0156088298894465;0.998945727216259;3;5;"cytochrome-b5 reductase activity, acting on NAD(P)H";"MF";0.263416536025502
"GO:0000287";0.0159023738643895;0.994914342231057;9;34;"magnesium ion binding";"MF";0.263416536025502
"GO:0003900";0.0160839302526246;0.994481569726925;10;38;NA;NA;0.263416536025502
"GO:0003901";0.0160839302526246;0.994481569726925;10;38;NA;NA;0.263416536025502
"GO:0003902";0.0160839302526246;0.994481569726925;10;38;NA;NA;0.263416536025502
"GO:0034062";0.0160839302526246;0.994481569726925;10;38;"5'-3' RNA polymerase activity";"MF";0.263416536025502
"GO:0004017";0.0162847567953509;1;2;2;"adenylate kinase activity";"MF";0.264853475102166
"GO:0015078";0.0185319180874193;0.996467532773694;5;14;"proton transmembrane transporter activity";"MF";0.299322428694731
"GO:0019752";0.0189042280969602;0.996377521639715;5;14;"carboxylic acid metabolic process";"BP";0.303244535637539
"GO:0008483";0.0196637244919487;0.996192358605466;5;14;"transaminase activity";"MF";0.313281923538394
"GO:0015934";0.0213111281148999;0.996966184476957;4;9;"large ribosomal subunit";"CC";0.337234203007402
"GO:0006520";0.0236001920518677;0.99184225543197;9;36;"cellular amino acid metabolic process";"BP";0.370950669701169
"GO:0046914";0.0250693405918032;0.991239785146511;9;36;"transition metal ion binding";"MF";0.391415971106688
"GO:0009098";0.0259307178018283;0.997484805407694;3;6;"leucine biosynthetic process";"BP";0.402183715840277
"GO:0009086";0.0261938101111455;0.997449022526189;3;6;"methionine biosynthetic process";"BP";0.40359146894936
"GO:0016597";0.0267971299328191;0.997366395633482;3;6;"amino acid binding";"MF";0.407611012236637
"GO:0006820";0.0268027736483527;0.997365618977578;3;6;"anion transport";"BP";0.407611012236637
"GO:0003899";0.0271404783586849;0.989740243420546;10;41;"DNA-directed 5'-3' RNA polymerase activity";"MF";0.408355021125896
"GO:0004815";0.0272004198529632;0.997310724274199;3;6;"aspartate-tRNA ligase activity";"MF";0.408355021125896
"GO:0008137";0.0307932877927541;0.994830721477589;4;10;"NADH dehydrogenase (ubiquinone) activity";"MF";0.459349554207834
"GO:0003676";0.0314286990398953;0.977764017153823;60;393;"nucleic acid binding";"MF";0.463528797362429
"GO:0046933";0.0334726488568596;0.988616333696716;8;30;"proton-transporting ATP synthase activity, rotational mechanism";"MF";0.463528797362429
"GO:0046961";0.0334726488568596;0.988616333696716;8;30;"proton-transporting ATPase activity, rotational mechanism";"MF";0.463528797362429
"GO:0043738";0.0342214446207433;0.985729274438274;11;49;"reduced coenzyme F420 dehydrogenase activity";"MF";0.463528797362429
"GO:0043826";0.0342214446207433;0.985729274438274;11;49;"sulfur oxygenase reductase activity";"MF";0.463528797362429
"GO:0043883";0.0342214446207433;0.985729274438274;11;49;"malolactic enzyme activity";"MF";0.463528797362429
"GO:0051341";0.0342214446207433;0.985729274438274;11;49;"regulation of oxidoreductase activity";"BP";0.463528797362429
"GO:0009113";0.0386521660715802;0.998348711333959;2;3;"purine nucleobase biosynthetic process";"BP";0.463528797362429
"GO:0006094";0.0388094738930119;0.998338166415914;2;3;"gluconeogenesis";"BP";0.463528797362429
"GO:0004834";0.0389311672355206;0.998329991461302;2;3;"tryptophan synthase activity";"MF";0.463528797362429
"GO:0006544";0.0389938505622597;0.998325774684306;2;3;"glycine metabolic process";"BP";0.463528797362429
"GO:0004066";0.039043094466663;0.998322459171012;2;3;"asparagine synthase (glutamine-hydrolyzing) activity";"MF";0.463528797362429
"GO:0006529";0.039043094466663;0.998322459171012;2;3;"asparagine biosynthetic process";"BP";0.463528797362429
"GO:0017150";0.0392466206914198;0.998308729765794;2;3;"tRNA dihydrouridine synthase activity";"MF";0.463528797362429
"GO:0004775";0.0399331903366379;0.998262103611735;2;3;"succinate-CoA ligase (ADP-forming) activity";"MF";0.463528797362429
"GO:0004334";0.0400994493816466;0.998250740530105;2;3;"fumarylacetoacetase activity";"MF";0.463528797362429
"GO:0004749";0.0404860337062499;0.998224210789099;2;3;"ribose phosphate diphosphokinase activity";"MF";0.463528797362429
"GO:0004739";0.040526901943614;0.998221397318926;2;3;"pyruvate dehydrogenase (acetyl-transferring) activity";"MF";0.463528797362429
"GO:0008688";0.0409694539086348;0.998190822855257;2;3;"3-(3-hydroxyphenyl)propionate hydroxylase activity";"MF";0.463528797362429
"GO:0018471";0.0409694539086348;0.998190822855257;2;3;"4-chlorobenzaldehyde oxidase activity";"MF";0.463528797362429
"GO:0018630";0.0409694539086348;0.998190822855257;2;3;"3,5-xylenol methylhydroxylase activity";"MF";0.463528797362429
"GO:0018631";0.0409694539086348;0.998190822855257;2;3;"phenylacetate hydroxylase activity";"MF";0.463528797362429
"GO:0018632";0.0409694539086348;0.998190822855257;2;3;"4-nitrophenol 4-monooxygenase activity";"MF";0.463528797362429
"GO:0018633";0.0409694539086348;0.998190822855257;2;3;"dimethyl sulfide monooxygenase activity";"MF";0.463528797362429
"GO:0018634";0.0409694539086348;0.998190822855257;2;3;"alpha-pinene monooxygenase [NADH] activity";"MF";0.463528797362429
"GO:0018635";0.0409694539086348;0.998190822855257;2;3;"(R)-limonene 1,2-monooxygenase activity";"MF";0.463528797362429
"GO:0018636";0.0409694539086348;0.998190822855257;2;3;"phenanthrene 9,10-monooxygenase activity";"MF";0.463528797362429
"GO:0018637";0.0409694539086348;0.998190822855257;2;3;"1-hydroxy-2-naphthoate hydroxylase activity";"MF";0.463528797362429
"GO:0018638";0.0409694539086348;0.998190822855257;2;3;"toluene 4-monooxygenase activity";"MF";0.463528797362429
"GO:0018639";0.0409694539086348;0.998190822855257;2;3;"xylene monooxygenase activity";"MF";0.463528797362429
"GO:0018640";0.0409694539086348;0.998190822855257;2;3;"dibenzothiophene monooxygenase activity";"MF";0.463528797362429
"GO:0018641";0.0409694539086348;0.998190822855257;2;3;"6-hydroxy-3-methyl-2-oxo-1,2-dihydroquinoline 6-monooxygenase activity";"MF";0.463528797362429
"GO:0018642";0.0409694539086348;0.998190822855257;2;3;"chlorophenol 4-monooxygenase activity";"MF";0.463528797362429
"GO:0018643";0.0409694539086348;0.998190822855257;2;3;"carbon disulfide oxygenase activity";"MF";0.463528797362429
"GO:0018644";0.0409694539086348;0.998190822855257;2;3;"toluene 2-monooxygenase activity";"MF";0.463528797362429
"GO:0018646";0.0409694539086348;0.998190822855257;2;3;"1-hydroxy-2-oxolimonene 1,2-monooxygenase activity";"MF";0.463528797362429
"GO:0018647";0.0409694539086348;0.998190822855257;2;3;"phenanthrene 1,2-monooxygenase activity";"MF";0.463528797362429
"GO:0018648";0.0409694539086348;0.998190822855257;2;3;"methanesulfonate monooxygenase activity";"MF";0.463528797362429
"GO:0018649";0.0409694539086348;0.998190822855257;2;3;"tetrahydrofuran hydroxylase activity";"MF";0.463528797362429
"GO:0018650";0.0409694539086348;0.998190822855257;2;3;"styrene monooxygenase activity";"MF";0.463528797362429
"GO:0018651";0.0409694539086348;0.998190822855257;2;3;"toluene-4-sulfonate monooxygenase activity";"MF";0.463528797362429
"GO:0018652";0.0409694539086348;0.998190822855257;2;3;"toluene-sulfonate methyl-monooxygenase activity";"MF";0.463528797362429
"GO:0018653";0.0409694539086348;0.998190822855257;2;3;"3-methyl-2-oxo-1,2-dihydroquinoline 6-monooxygenase activity";"MF";0.463528797362429
"GO:0018654";0.0409694539086348;0.998190822855257;2;3;"2-hydroxy-phenylacetate hydroxylase activity";"MF";0.463528797362429
"GO:0018655";0.0409694539086348;0.998190822855257;2;3;"2-oxo-delta3-4,5,5-trimethylcyclopentenylacetyl-CoA 1,2-monooxygenase activity";"MF";0.463528797362429
"GO:0018656";0.0409694539086348;0.998190822855257;2;3;"phenanthrene 3,4-monooxygenase activity";"MF";0.463528797362429
"GO:0018657";0.0409694539086348;0.998190822855257;2;3;"toluene 3-monooxygenase activity";"MF";0.463528797362429
"GO:0019113";0.0409694539086348;0.998190822855257;2;3;"limonene monooxygenase activity";"MF";0.463528797362429
"GO:0043719";0.0409694539086348;0.998190822855257;2;3;"2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase activity";"MF";0.463528797362429
"GO:0043731";0.0409694539086348;0.998190822855257;2;3;"6-hydroxynicotinate 3-monooxygenase activity";"MF";0.463528797362429
"GO:0016888";0.0422199602825659;0.994536424823728;3;7;"endodeoxyribonuclease activity, producing 5'-phosphomonoesters";"MF";0.475380514335429
"GO:0008547";0.0447026666516354;0.990986933538215;4;12;NA;NA;0.500926532526938
"GO:0019205";0.0451668941946195;0.99789110520027;2;3;"nucleobase-containing compound kinase activity";"MF";0.503415668453493
"GO:0030976";0.0453546994208741;0.990811415769662;4;12;"thiamine pyrophosphate binding";"MF";0.503415668453493
"GO:0005622";0.0482598958282919;0.964316655198185;67;444;"intracellular";"CC";0.533135264291791
