id	Length	Description
NRRL3_00064	1914	alpha-arabinofuranosidase
NRRL3_00065	1659	major facilitator superfamily protein, efflux pump
NRRL3_00066	2118	fungal-specific transcription factor
NRRL3_00067	4332	ABC transporter
NRRL3_00068	528	cell wall mannoprotein 1-like protein
NRRL3_00069	981	acetoacetate decarboxylase-like protein
NRRL3_00070	831	non-heme chloroperoxidase
NRRL3_00071	1080	alcohol dehydrogenase domain-containing protein
NRRL3_00072	1992	fungal-specific transcription factor
NRRL3_00073	696	carbohydrate esterase family 5 protein
NRRL3_00074	711	carbohydrate esterase family 5 protein
NRRL3_00075	1602	amidase
NRRL3_00076	1719	pyruvate decarboxylase
NRRL3_00077	510	zinc finger domain-containing protein, C2H2-type
NRRL3_00078	1152	alpha/beta hydrolase fold domain-containing protein
NRRL3_00079	1449	dimethyl-sulfide monooxygenase
NRRL3_00080	1278	alcohol dehydrogenase domain-containing protein
NRRL3_00081	1611	amino acid/polyamine transporter I family protein
NRRL3_00082	891	hypothetical protein
NRRL3_00083	1392	major facilitator superfamily protein
NRRL3_00084	1992	threonine/serine exporter ThrE domain-containing protein
NRRL3_00085	465	hypothetical protein
NRRL3_00086	996	ketopantoate reductase ApbA/PANE-like protein
NRRL3_00087	762	dienelactone hydrolase domain-containing protein
NRRL3_00088	999	short-chain dehydrogenase/reductase family protein
NRRL3_00089	903	uncharacterized protein
NRRL3_00090	1098	oxoglutarate/iron-dependent dioxygenase domain-containing protein
NRRL3_00091	1113	hypothetical protein
NRRL3_00092	966	endo-1,5-alpha-arabinanase Abn43A
NRRL3_00093	1923	fungal-specific transcription factor
NRRL3_00094	858	short-chain dehydrogenase/reductase family protein
NRRL3_00095	2208	tetratricopeptide-like helical domain-containing protein
NRRL3_00096	261	hypothetical protein
NRRL3_00097	1917	lysophospholipase
NRRL3_00098	750	hypothetical protein
NRRL3_00099	1197	fatty acyl-CoA reductase-like protein
NRRL3_00100	1590	cytochrome P450
NRRL3_00101	528	hypothetical protein
NRRL3_00102	7182	polyketide synthase
NRRL3_00103	1191	organic solute transporter subunit alpha/transmembrane protein 184 family protein
NRRL3_00104	2271	fungal-specific transcription factor
NRRL3_00105	1773	FAD linked oxidase, N-terminal domain-containing protein
NRRL3_00106	2223	squalene cyclase-like protein
NRRL3_00107	1485	cytochrome P450-like protein
NRRL3_00108	1494	carotenoid oxygenase-like protein
NRRL3_00109	1659	vanillyl alcohol oxidase 
NRRL3_00110	1536	fungal-specific transcription factor
NRRL3_00111	1335	cytochrome P450-like protein
NRRL3_00112	1182	NAD(P)-binding domain-containing protein
NRRL3_00113	1389	FAD-dependent oxidoreductase 2, FAD binding domain-containing protein
NRRL3_00114	1023	amine oxidase domain-containing protein
NRRL3_00115	822	F-box domain-containing protein
NRRL3_00116	1293	hypothetical protein
NRRL3_00117	1179	hypothetical protein
NRRL3_00118	924	hypothetical protein
NRRL3_00119	564	hypothetical protein
NRRL3_00120	525	hypothetical protein
NRRL3_00121	1197	hypothetical protein
NRRL3_00122	510	hypothetical protein
NRRL3_00123	2280	fungal-specific transcription factor
NRRL3_00124	2016	copper/quinone-containing amine oxidase AO-I
NRRL3_00125	1446	glycosyltransferase family 31 protein
NRRL3_00126	1755	kelch domain-containing protein
NRRL3_00127	978	UbiA prenyltransferase family protein
NRRL3_00128	1611	fungal-specific transcription factor
NRRL3_00129	1488	histidine phosphatase superfamily protein
NRRL3_00130	264	hypothetical protein
NRRL3_00131	1647	major facilitator superfamily protein
NRRL3_00132	219	RNA polymerase II transcription factor B subunit 5
NRRL3_00133	858	Hsp20-like chaperone domain-containing protein
NRRL3_00134	1014	resistance to 7-aminocholesterol Rta-like protein
NRRL3_00135	8391	non-ribosomal peptide synthetase
NRRL3_00136	4374	alpha-factor-transporting ATPase-like protein
NRRL3_00137	897	alpha/beta hydrolase fold-1 domain-containing protein
NRRL3_00138	6282	fatty acid synthase beta subunit
NRRL3_00139	807	hotdog domain-containing protein
NRRL3_00140	789	esterase/lipase AzaC
NRRL3_00141	1386	acyltransferase AzaD
NRRL3_00142	1017	ketoreductase AzaE
NRRL3_00143	1620	AMP-dependent CoA ligase AzaF
NRRL3_00144	1482	FAD-dependent oxygenase AzaG
NRRL3_00145	1332	salicylate monooxygenase AzaH
NRRL3_00146	1485	cytochrome P450 AzaI
NRRL3_00147	7854	polyketide synthase AzaA
NRRL3_00148	1572	fungal-specific transcription factor AzaR
NRRL3_00149	1041	zinc-type alcohol dehydrogenase AzaJ
NRRL3_00150	609	haem-degrading HbpS-like protein
NRRL3_00151	1407	major facilitator superfamily efflux transporter AzaK
NRRL3_00152	1470	FAD-dependent oxygenase AzaL
NRRL3_00153	7563	polyketide synthase AzaB
NRRL3_00154	837	resistance to 7-aminocholesterol Rta-like protein
NRRL3_00155	1500	cytochrome P450
NRRL3_00156	1053	oxidoreductase domain-containing protein
NRRL3_00157	1119	branched-chain amino acid aminotransferase-like protein
NRRL3_00158	1584	cytochrome P450
NRRL3_00159	4881	fatty acid synthase alpha subunit
NRRL3_00160	2412	dynamin superfamily protein
NRRL3_00161	762	limkain b1, NYN domain-containing protein
NRRL3_00162	846	crotonase superfamily protein
NRRL3_00163	3594	glucose-methanol-choline oxidoreductase domain-containing protein
NRRL3_00164	1623	DDE superfamily endonuclease domain-containing protein
NRRL3_00165	624	hypothetical protein
NRRL3_00166	2601	polyketide synthase-like protein
NRRL3_00167	2508	oxoglutarate/iron-dependent dioxygenase domain-containing protein
NRRL3_00168	1338	FAD-binding domain-containing protein
NRRL3_00169	804	rhamnogalacturonan acetylesterase
NRRL3_00170	897	lysophospholipase Lip2
NRRL3_00171	1500	major facilitator superfamily protein, efflux pump
NRRL3_00172	3498	DNA repair protein Rev1, C-terminal domain-containing protein
NRRL3_00173	405	YjgF/YER057c/translation inhibitor UK114 family protein
NRRL3_00174	1815	hexosaminidase
NRRL3_00175	3639	DNA repair protein Rad5
NRRL3_00176	1773	FAD/NAD(P)-binding domain-containing protein
NRRL3_00177	1767	carboxylesterase family protein
NRRL3_00178	1092	WD repeat-containing protein
NRRL3_00179	3612	chitin synthase
NRRL3_00180	714	hypothetical protein
NRRL3_00181	1158	hypothetical protein
NRRL3_00182	876	S-adenosyl-L-methionine-dependent methyltransferase domain-containing protein
NRRL3_00183	759	phosphatidylethanolamine-binding protein-like protein
NRRL3_00184	354	hypothetical protein
NRRL3_00185	1710	alpha/beta hydrolase fold-1 domain-containing protein
NRRL3_00186	687	oxoglutarate/iron-dependent dioxygenase domain-containing protein
NRRL3_00187	1242	aspartate aminotransferase
NRRL3_00188	1629	acyltransferase domain-containing protein
NRRL3_00189	366	hypothetical protein
NRRL3_00190	807	alpha/beta hydrolase fold-1 domain-containing protein
NRRL3_00191	783	HpcH/HpaI aldolase/citrate lyase domain-containing protein
NRRL3_00192	396	hypothetical protein
NRRL3_00193	1374	ribonuclease E inhibitor RraA-like protein
NRRL3_00194	1188	squalene/phytoene synthase family protein
NRRL3_00195	1536	major facilitator superfamily protein
NRRL3_00196	546	mitochondria homeostasis protein Sym1 
NRRL3_00197	774	protein kinase domain-containing protein
NRRL3_00198	1386	alcohol acetyltransferase/N-acetyltransferase family protein
NRRL3_00199	2046	LCCL domain-containing protein
NRRL3_00200	1500	amino acid/polyamine transporter I family protein
NRRL3_00201	1647	flavin amine oxidase-like protein
NRRL3_00202	1536	major facilitator superfamily protein
NRRL3_00203	1440	cytochrome P450
NRRL3_00204	957	sesquiterpene cyclase
NRRL3_00205	2553	fungal-specific transcription factor
NRRL3_00206	729	hypothetical protein
NRRL3_00207	957	hypothetical protein
NRRL3_00208	624	hypothetical protein
NRRL3_00209	1302	hypothetical protein
NRRL3_00210	1335	2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial
NRRL3_00211	1419	lipoamide acyltransferase, mitochondrial
NRRL3_00212	1503	histone-lysine N-methyltransferase, H3 lysine-79 specific
NRRL3_00213	828	peptidase S26A, signal peptidase I family protein
NRRL3_00214	3213	sporulation-specific protein 71, N-terminal domain-containing protein
NRRL3_00215	933	hypothetical protein
NRRL3_00216	2856	gamma-tubulin complex protein 6
NRRL3_00217	2916	up-regulated during septation 1 domain-containing protein
NRRL3_00218	1449	transferase family protein
NRRL3_00219	3207	type I phosphodiesterase/nucleotide pyrophosphatase/phosphate transferase family protein
NRRL3_00220	1608	serine O-acetyltransferase
NRRL3_00221	1494	hypothetical protein
NRRL3_00222	2835	DNA repair protein Rad4-like protein
NRRL3_00223	2253	prolyl oligopeptidase catalytic domain-containing protein
NRRL3_00224	819	uncharacterized protein
NRRL3_00225	648	hypothetical protein
NRRL3_00226	786	hypothetical protein
NRRL3_00227	2310	fungal-specific transcription factor
NRRL3_00228	1413	major facilitator superfamily protein
NRRL3_00229	1221	alginate lyase domain-containing protein
NRRL3_00230	2427	actin patch protein 1-like protein
NRRL3_00231	957	NUDIX hydrolase domain-containing protein
NRRL3_00232	1893	major facilitator superfamily protein
NRRL3_00233	477	hypothetical protein
NRRL3_00234	957	6-phosphogluconate dehydrogenase domain-containing protein
NRRL3_00235	1584	glycerol proton symporter
NRRL3_00236	1098	phenol oxidase
NRRL3_00237	744	YrdC domain-containing protein
NRRL3_00238	219	hypothetical protein
NRRL3_00239	747	hypothetical protein
NRRL3_00240	573	carbohydrate-binding module family 50 protein
NRRL3_00241	867	molybdopterin cofactor biosynthesis MoaC domain-containing protein
NRRL3_00242	1551	glutathione synthetase
NRRL3_00243	1764	Clr5 domain-containing protein
NRRL3_00244	645	uncharacterized protein
NRRL3_00245	1698	tetratricopeptide repeat-containing protein
NRRL3_00246	2607	fungal-specific transcription factor
NRRL3_00247	648	carbonic anhydrase
NRRL3_00248	7278	cell wall alpha-1,3-glucan synthase
NRRL3_00249	1668	alpha-amylase
NRRL3_00250	1680	alpha-amylase
NRRL3_00251	612	cell-wall synthesis Kre9/Knh1 family protein
NRRL3_00252	2247	catalase
NRRL3_00253	1209	iron-type alcohol dehydrogenase domain-containing protein
NRRL3_00254	264	hypothetical protein
NRRL3_00255	4374	phospholipid-transporting P-type ATPase
NRRL3_00256	1716	siderophore iron transporter 1-like protein
NRRL3_00257	1101	hypothetical protein
NRRL3_00258	1197	NAD(P)-binding domain-containing protein
NRRL3_00259	1548	cytochrome P450-like protein
NRRL3_00260	1110	hypothetical protein
NRRL3_00261	1161	hydroxymethylglutaryl-CoA reductase-like enzyme
NRRL3_00262	1764	vacuolar amino acid transporter
NRRL3_00263	1491	endo-polygalacturonase Pga28D
NRRL3_00264	324	hypothetical protein
NRRL3_00265	849	protoporphyrin uptake protein
NRRL3_00266	966	resistance to 7-aminocholesterol Rta-like protein
NRRL3_00267	1134	xylose isomerase-like, TIM barrel domain-containing protein
NRRL3_00268	2211	alpha-xylosidase Axl31A
NRRL3_00269	798	membrane protein Sur7/Rim9 family protein
NRRL3_00270	1698	polyamine transporter
NRRL3_00271	414	glyoxalase/bleomycin resistance protein/dihydroxybiphenyl dioxygenase domain-containing protein
NRRL3_00272	1503	vacuolar basic amino acid transporter
NRRL3_00273	1551	amino acid/polyamine transporter I family protein
NRRL3_00274	309	hypothetical protein
NRRL3_00275	1332	wax synthase domain-containing protein
NRRL3_00276	267	hypothetical protein
NRRL3_00277	1989	hypothetical protein
NRRL3_00278	657	thioredoxin-like fold protein
NRRL3_00279	759	ribulose-phosphate 3-epimerase
NRRL3_00280	2961	methyltransferase type 11 domain-containing protein
NRRL3_00281	297	Sm-like protein Lsm2    
NRRL3_00282	2520	DNA repair metallo-beta-lactamase domain-containing protein
NRRL3_00283	1554	benzoate 4-monooxygenase BhpA
NRRL3_00284	2361	small oligopeptide transporter
NRRL3_00285	2061	fungal-specific transcription factor
NRRL3_00286	510	uncharacterized protein
NRRL3_00287	411	glutathione-dependent formaldehyde-activating enzyme/centromere protein V domain-containing protein
NRRL3_00288	1425	citrate synthase-like protein
NRRL3_00289	621	hypothetical protein
NRRL3_00290	1512	fungal-specific transcription factor
NRRL3_00291	702	hypothetical protein
NRRL3_00292	636	phosphatidylethanolamine-binding protein-like protein
NRRL3_00293	1803	autophagy related protein 22-2
NRRL3_00294	1767	signal sensor PAS domain-containing protein
NRRL3_00295	666	hypothetical protein
NRRL3_00296	1332	N amino acid transport system protein
NRRL3_00297	1593	hypothetical protein
NRRL3_00298	1779	glycosyltransferase 2-like domain-containing protein
NRRL3_00299	1233	fungal-specific transcription factor
NRRL3_00300	909	NmrA-like domain-containing protein
NRRL3_00301	1953	acyl-CoA dehydrogenase/oxidase domain-containing protein
NRRL3_00302	936	calcineurin-like phosphoesterase domain-containing protein
NRRL3_00303	2253	membrane attack complex component/perforin (MACPF) domain-containing protein
NRRL3_00304	1866	carboxylesterase family protein
NRRL3_00305	546	hypothetical protein
NRRL3_00306	1251	keratinolytic protease KerD
NRRL3_00307	1536	major facilitator superfamily protein
NRRL3_00308	237	hypothetical protein
NRRL3_00309	945	alpha/beta hydrolase fold-1 domain-containing protein
NRRL3_00310	1494	major facilitator superfamily protein
NRRL3_00311	1983	fungal-specific transcription factor
NRRL3_00312	1329	2,2-dialkylglycine decarboxylase
NRRL3_00313	1329	arrestin domain-containing protein
NRRL3_00314	2040	ubiquitin system component Cue domain-containing protein
NRRL3_00315	666	NAD(P)-binding domain-containing protein
NRRL3_00316	2418	aconitate hydratase, mitochondrial
NRRL3_00317	2076	oxoglutarate/iron-dependent dioxygenase domain-containing protein
NRRL3_00318	996	glyoxylate reductase
NRRL3_00319	1218	alcohol dehydrogenase domain-containing protein
NRRL3_00320	495	hypothetical protein
NRRL3_00321	1458	aldehyde dehydrogenase domain-containing protein
NRRL3_00322	1077	hypothetical protein
NRRL3_00323	1206	ketol-acid reductoisomerase, mitochondrial
NRRL3_00324	1302	tryptophan-tRNA ligase, cytosolic
NRRL3_00325	1134	tryptophan synthase subunit beta domain-containing protein
NRRL3_00326	1353	DNA repair protein Rad51B-like protein
NRRL3_00327	321	mitochondrial export protein Som1-like protein
NRRL3_00328	1059	transcription initiation factor TFIID subunit 8, C-terminal domain-containing protein
NRRL3_00329	186	cytochrome c oxidase subunit 7A
NRRL3_00330	555	NEDD8-conjugating enzyme UBC12
NRRL3_00331	2745	chitin synthase
NRRL3_00332	1302	membrane anchor Opy2 N-terminal domain-containing protein
NRRL3_00333	1809	fungal-specific transcription factor
NRRL3_00334	849	aldo/keto reductase family protein
NRRL3_00335	912	glutamate-cysteine ligase regulatory subunit-like protein
NRRL3_00336	837	EKC/KEOPS complex subunit Bud32
NRRL3_00337	4353	DNA-directed RNA polymerase III subunit Rpc1
NRRL3_00338	2001	translation elongation factor Guf1, mitochondrial
NRRL3_00339	681	mitotic spindle checkpoint component Mad2 
NRRL3_00340	780	Rossmann-like alpha/beta/alpha sandwich fold-containing protein
NRRL3_00341	3501	transcription factor IIS, N-terminal domain-containing protein
NRRL3_00342	363	hypothetical protein
NRRL3_00343	2118	Sec1-like protein
NRRL3_00344	1137	pheromone alpha factor receptor STE2-like protein
NRRL3_00345	1752	ubiquitin E2 variant, N-terminal domain-containing protein
NRRL3_00346	498	hypothetical protein
NRRL3_00347	807	hypothetical protein
NRRL3_00348	438	hypothetical protein
NRRL3_00349	1245	protein kinase domain-containing protein
NRRL3_00350	561	stress-response CsbD-like protein
NRRL3_00351	1467	indoleamine 2,3-dioxygenase, tryptophan-degrading enzyme
NRRL3_00352	1548	cysteine desulfurase, mitochondrial    
NRRL3_00353	1224	regulator of cytoskeleton and endocytosis 
NRRL3_00354	939	hypothetical protein
NRRL3_00355	402	hypothetical protein
NRRL3_00356	903	uncharacterized protein
NRRL3_00357	1317	uncharacterized protein
NRRL3_00358	1332	FAD-binding domain-containing protein
NRRL3_00359	243	hypothetical protein
NRRL3_00360	387	hypothetical protein
NRRL3_00361	1170	hypothetical protein
NRRL3_00362	1995	F-box domain-containing protein
NRRL3_00363	1296	metacaspase
NRRL3_00364	423	hypothetical protein
NRRL3_00365	576	hypothetical protein
NRRL3_00366	654	hypothetical protein
NRRL3_00367	810	protein N-methyltransferase
NRRL3_00368	1239	protein Kti12/L-seryl-tRNA(Sec) kinase family protein
NRRL3_00369	1758	zinc finger domain-containing protein, C2H2-like 
NRRL3_00370	1692	hypothetical protein
NRRL3_00371	1020	palmitoyl protein thioesterase-like protein
NRRL3_00372	3426	plasma-membrane phosphatidylinositol 4-phosphate synthesis complex component Efr3
NRRL3_00373	456	mediator of RNA polymerase II transcription subunit 31
NRRL3_00374	780	hypothetical protein
NRRL3_00375	1551	cell morphology Pal1-like protein
NRRL3_00376	2697	DNA replication licensing factor Mcm2
NRRL3_00377	1641	zinc finger domain-containing protein, UBR-type and RING/FYVE/PHD-type
NRRL3_00378	1290	serine/threonine-protein kinase
NRRL3_00379	1473	major facilitator superfamily, sugar/inositol transporter-like protein
NRRL3_00380	1251	hypothetical protein
NRRL3_00381	3228	phosphatidylserine decarboxylase-like protein
NRRL3_00382	1764	kinetochore-associated protein Dsn1/Mis13-like protein
NRRL3_00383	204	hypothetical protein
NRRL3_00384	2610	threonine/serine exporter ThrE domain-containing protein
NRRL3_00385	1731	hypothetical protein
NRRL3_00386	1578	sugar/inositol transporter family protein
NRRL3_00387	984	kynurenine formamidase-like protein
NRRL3_00388	1143	hypothetical protein
NRRL3_00389	2010	two pore domain potassium channel-like protein
NRRL3_00390	777	short-chain dehydrogenase/reductase family protein
NRRL3_00391	2124	fungal-specific transcription factor
NRRL3_00392	1914	methyltransferase domain-containing protein
NRRL3_00393	1143	hypothetical protein
NRRL3_00394	741	vesicular trafficking protein SNAP-25
NRRL3_00395	1077	nucleosome assembly protein
NRRL3_00396	1059	nitrogen metabolite repression protein
NRRL3_00397	1692	asparaginase/glutaminase family protein
NRRL3_00398	957	pirin, N-terminal domain-containing protein
NRRL3_00399	1689	fungal-specific transcription factor
NRRL3_00400	1623	amidase family protein
NRRL3_00401	726	BTB/POZ domain-containing protein
NRRL3_00402	1557	choline transport protein
NRRL3_00403	1611	uncharacterized protein
NRRL3_00404	1227	hypothetical protein
NRRL3_00405	183	gurmarin/antimicrobial peptide-like protein
NRRL3_00406	1686	fungal-specific transcription factor
NRRL3_00407	1758	major facilitator superfamily protein
NRRL3_00408	1794	aminotransferase class I and II family protein
NRRL3_00409	1038	translation regulator impact family protein
NRRL3_00410	2778	non-ribosomal peptide synthetase-like protein
NRRL3_00411	1593	carboxylesterase family protein
NRRL3_00412	1185	catechol oxidase
NRRL3_00413	1011	NAD(P)-binding domain-containing protein
NRRL3_00414	1035	intradiol ring-cleavage dioxygenase domain-containing protein
NRRL3_00415	1230	lytic polysaccharide monooxygenase
NRRL3_00416	1119	60S ribosomal protein uL4
NRRL3_00417	2910	fungal-specific transcription factor
NRRL3_00418	2232	DnaJ domain-containing protein
NRRL3_00419	1743	pre-mRNA processing protein 45
NRRL3_00419a1	306	hypothetical protein
NRRL3_00420	1413	GATS-like ACT domain-containing protein
NRRL3_00421	1020	WD repeat-containing protein
NRRL3_00422	1152	septin, involved in development
NRRL3_00423	2712	periodic tryptophan protein 2-like protein
NRRL3_00424	957	kynurenine formamidase-like protein
NRRL3_00425	4221	5'-3' exoribonuclease, type 1
NRRL3_00426	1311	histone acetyltransferase type B subunit 2
NRRL3_00427	1011	GTP cyclohydrolase
NRRL3_00428	2370	hypothetical protein
NRRL3_00429	534	cell wall mannoprotein 1-like protein
NRRL3_00430	7377	polyketide synthase
NRRL3_00431	1611	tannase/feruloyl esterase family protein
NRRL3_00431a1	177	hypothetical protein
NRRL3_00432	531	deoxyuridine triphosphate nucleotidohydrolase/deoxycytidine triphosphate deaminase family protein
NRRL3_00433	3237	protein kinase domain-containing protein
NRRL3_00434	1059	eukaryotic translation initiation factor 4E-like protein
NRRL3_00435	3687	Ulp1 protease family, C-terminal catalytic domain-containing protein
NRRL3_00436	588	gamma-glutamylcyclotransferase domain-containing protein
NRRL3_00437	750	signal peptidase complex subunit 3-like protein
NRRL3_00438	282	proteolipid membrane potential modulator family protein
NRRL3_00439	1323	branched-chain alpha-ketoacid dehydrogenase kinase/pyruvate dehydrogenase kinase domain-containing protein
NRRL3_00440	3369	ubiquitin carboxyl-terminal hydrolase 
NRRL3_00441	633	COPI-coated vesicle assembly TMP21-related protein
NRRL3_00442	360	hypothetical protein
NRRL3_00443	660	hypothetical protein
NRRL3_00444	1737	RNA polymerase II-binding domain-containing protein
NRRL3_00445	1872	hypothetical protein
NRRL3_00446	1269	major facilitator superfamily protein
NRRL3_00447	2067	fungal-specific transcription factor
NRRL3_00448	2616	hypothetical protein
NRRL3_00449	2109	heterokaryon incompatibility domain-containing protein
NRRL3_00450	459	hypothetical protein
NRRL3_00451	222	hypothetical protein
NRRL3_00452	393	uncharacterized protein
NRRL3_00453	2457	DNA repair helicase Rad25
NRRL3_00454	1500	uncharacterized protein
NRRL3_00455	1407	hypothetical protein
NRRL3_00456	2136	glutamine-dependent NAD(+) synthetase
NRRL3_00457	1251	NUDIX hydrolase domain-containing protein
NRRL3_00458	4326	telomeric single stranded DNA binding Pot1/Cdc13 domain-containing protein
NRRL3_00459	1476	flavin monooxygenase-like protein
NRRL3_00460	723	HD domain-containing protein
NRRL3_00461	3309	class II histone deacetylase complex subunit 2/3-like protein
NRRL3_00462	6462	polyketide synthase AlbA/FwnA
NRRL3_00464	237	hypothetical protein
NRRL3_00465	3909	transglutaminase-like domain-containing protein
NRRL3_00466	1425	DDH domain-containing protein
NRRL3_00467	1341	tryptophan synthase subunit beta domain-containing protein
NRRL3_00468	5175	lysine-specific demethylase domain-containing protein
NRRL3_00469	1275	structure-specific endonuclease subunit Slx1
NRRL3_00470	675	thymidylate kinase
NRRL3_00471	1422	queuine tRNA-ribosyltransferase-like protein
NRRL3_00472	2268	methylenetetrahydrofolate reductase
NRRL3_00473	636	MIOREX complex component 11-like protein
NRRL3_00474	462	nucleoside-diphosphate kinase
NRRL3_00475	2892	alpha-glucosidase
NRRL3_00476	801	PQ-loop repeat-containing protein
NRRL3_00477	984	immunoreactive secreted protein
NRRL3_00478	1083	chitinase
NRRL3_00479	1179	sulphydryl oxidase Sox
NRRL3_00480	3060	plasma membrane ATPase
NRRL3_00481	2139	glutamate-tRNA ligase, cytosolic
NRRL3_00482	900	54S ribosomal protein uL1m
NRRL3_00483	891	conserved oligomeric Golgi complex subunit 2, involved in cell polarity, cell wall structure, and protein glycosylation
NRRL3_00484	1230	hypothetical protein
NRRL3_00485	999	cytosolic Fe-S cluster assembly factor Cfd1
NRRL3_00486	1167	UBX domain-containing protein
NRRL3_00487	396	mitochondrial import protein 1
NRRL3_00488	1491	membrane insertase OXA1/ALB3/YidC family protein
NRRL3_00489	1035	TAFII28-like protein
NRRL3_00490	1500	S-adenosylmethionine decarboxylase-like protein
NRRL3_00491	1344	SAGA transcriptional regulatory complex subunit
NRRL3_00492	1026	terpene synthase, metal-binding domain-containing protein
NRRL3_00493	1188	Spo11/DNA topoisomerase VI subunit A family protein
NRRL3_00494	501	ubiquitin-conjugating enzyme E2
NRRL3_00495	1617	scramblase family protein
NRRL3_00496	378	long chronological lifespan protein 2
NRRL3_00497	852	54S ribosomal protein bL27m
NRRL3_00498	4356	Rad9-like Rad53-binding domain-containing protein
NRRL3_00499	1479	tRNA-splicing endonuclease subunit Sen2-like protein
NRRL3_00500	204	H/ACA ribonucleoprotein complex subunit 3
NRRL3_00501	1302	ribonuclease Nob1-like protein
NRRL3_00501a1	303	hypothetical protein
NRRL3_00502	1167	hypothetical protein
NRRL3_00503	1995	fungal-specific transcription factor
NRRL3_00504	1626	cis-aconitate decarboxylase
NRRL3_00505	585	hypothetical protein
NRRL3_00506	903	aminoglycoside phosphotransferase domain-containing protein
NRRL3_00507	1551	peptidase M18 family protein
NRRL3_00508	1413	glycoside hydrolase family 71 protein
NRRL3_00509	1344	alcohol dehydrogenase domain-containing protein
NRRL3_00510	333	hypothetical protein
NRRL3_00511	1488	bZIP transcription factor
NRRL3_00512	1509	mitochondrial carrier domain-containing protein
NRRL3_00513	609	adrenodoxin-like protein, mitochondrial
NRRL3_00514	879	ribosomal RNA-processing protein 15-like protein
NRRL3_00515	1602	signal recognition particle 54 kDa protein
NRRL3_00516	1980	alkaline phosphatase D-related protein
NRRL3_00517	870	endo-beta-N-acetylglucosaminidase
NRRL3_00518	2601	hypothetical protein
NRRL3_00519	1863	hypothetical protein
NRRL3_00520	816	aminoglycoside phosphotransferase domain-containing protein
NRRL3_00521	387	reactive intermediate/imine deaminase RidA family protein
NRRL3_00522	1020	alpha/beta hydrolase fold-3 domain-containing protein
NRRL3_00523	3630	chitinase-like protein
